FlightNum,PlanTime,ActualTime,Direction,City,Country,Terminal,Status
290,2024-08-03T19:30:00,2024-08-03T23:32:00,A,SOFIA,BULGARIA,3,LANDED
336,2024-08-03T23:15:00,2024-08-03T23:35:00,A,ROME,ITALY,3,LANDED
7844,2024-08-03T23:40:00,2024-08-03T23:40:00,A,BARCELONA,SPAIN,3,CANCELED
616,2024-08-03T16:15:00,2024-08-03T23:40:00,A,RHODES,GREECE,3,LANDED
102,2024-08-03T23:40:00,2024-08-03T23:42:00,A,LARNACA,CYPRUS,3,LANDED
051,2024-08-03T22:10:00,2024-08-03T23:43:00,D,LARNACA,CYPRUS,1,DEPARTED
091,2024-08-03T23:30:00,2024-08-03T23:48:00,D,TOKYO,JAPAN,3,DEPARTED
1846,2024-08-03T23:50:00,2024-08-03T23:50:00,A,RAMON,ISRAEL,1,CANCELED
458,2024-08-03T23:35:00,2024-08-03T23:52:00,D,CHISINAU,MOLDOVA,3,DEPARTED
585,2024-08-03T21:00:00,2024-08-03T23:58:00,D,LARNACA,CYPRUS,3,DEPARTED
016,2024-08-03T23:50:00,2024-08-04T00:06:00,D,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
7845,2024-08-04T00:25:00,2024-08-04T00:25:00,D,BARCELONA,SPAIN,3,CANCELED
048,2024-08-04T00:25:00,2024-08-04T00:25:00,A,RAMON,ISRAEL,1,CANCELED
6453,2024-08-04T00:05:00,2024-08-04T00:27:00,D,NEW YORK,UNITED STATES,3,DEPARTED
7426,2024-08-04T00:05:00,2024-08-04T00:27:00,D,NEW YORK,UNITED STATES,3,DEPARTED
003,2024-08-04T00:05:00,2024-08-04T00:27:00,D,NEW YORK,UNITED STATES,3,DEPARTED
211,2024-08-03T18:30:00,2024-08-04T00:30:00,D,ATHENS,GREECE,3,CANCELED
5138,2024-08-04T00:40:00,2024-08-04T00:40:00,A,PAPHOS,CYPRUS,3,CANCELED
156,2024-08-04T00:20:00,2024-08-04T00:45:00,D,BUCHAREST,ROMANIA,3,DEPARTED
5134,2024-08-04T00:45:00,2024-08-04T00:49:00,A,LARNACA,CYPRUS,3,LANDED
6483,2024-08-04T00:30:00,2024-08-04T00:50:00,D,NEWARK,UNITED STATES,3,DEPARTED
7443,2024-08-04T00:30:00,2024-08-04T00:50:00,D,NEWARK,UNITED STATES,3,DEPARTED
405,2024-08-04T00:50:00,2024-08-04T00:50:00,D,ADDIS ABABA,ETHIOPIA,3,CANCELED
027,2024-08-04T00:30:00,2024-08-04T00:50:00,D,NEWARK,UNITED STATES,3,DEPARTED
8807,2024-08-04T00:50:00,2024-08-04T00:50:00,D,ADDIS ABABA,ETHIOPIA,3,CANCELED
119,2024-08-03T22:45:00,2024-08-04T00:52:00,D,LARNACA,CYPRUS,3,DEPARTED
117,2024-08-04T00:40:00,2024-08-04T00:54:00,D,LARNACA,CYPRUS,3,DEPARTED
526,2024-08-04T00:55:00,2024-08-04T00:55:00,A,LARNACA,CYPRUS,3,CANCELED
7851,2024-08-04T00:15:00,2024-08-04T01:01:00,D,MIAMI,UNITED STATES,3,DEPARTED
6467,2024-08-04T00:15:00,2024-08-04T01:01:00,D,MIAMI,UNITED STATES,3,DEPARTED
7437,2024-08-04T00:15:00,2024-08-04T01:01:00,D,MIAMI,UNITED STATES,3,DEPARTED
017,2024-08-04T00:15:00,2024-08-04T01:01:00,D,MIAMI,UNITED STATES,3,DEPARTED
7869,2024-08-04T01:00:00,2024-08-04T01:19:00,D,NEW YORK,UNITED STATES,3,DEPARTED
7853,2024-08-04T01:00:00,2024-08-04T01:19:00,D,NEW YORK,UNITED STATES,3,DEPARTED
6451,2024-08-04T01:00:00,2024-08-04T01:19:00,D,NEW YORK,UNITED STATES,3,DEPARTED
7424,2024-08-04T01:00:00,2024-08-04T01:19:00,D,NEW YORK,UNITED STATES,3,DEPARTED
001,2024-08-04T01:00:00,2024-08-04T01:19:00,D,NEW YORK,UNITED STATES,3,DEPARTED
2211,2024-08-04T00:30:00,2024-08-04T01:22:00,D,ATHENS,GREECE,3,DEPARTED
6465,2024-08-04T01:05:00,2024-08-04T01:24:00,D,BOSTON,UNITED STATES,3,DEPARTED
